audio_path,reference_text,language,condition
../acp_drp/C1_silence/silence_01_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_02_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_03_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_04_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_05_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_06_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_07_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_08_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_09_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_10_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_11_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_12_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_13_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_14_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_15_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_16_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_17_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_18_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_19_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_20_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_21_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_22_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_23_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_24_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_25_3s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_26_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_27_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_28_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_29_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_30_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_31_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_32_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_33_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_34_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_35_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_36_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_37_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_38_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_39_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_40_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_41_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_42_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_43_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_44_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_45_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_46_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_47_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_48_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_49_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_50_5s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_51_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_52_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_53_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_54_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_55_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_56_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_57_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_58_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_59_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_60_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_61_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_62_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_63_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_64_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_65_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_66_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_67_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_68_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_69_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_70_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_71_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_72_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_73_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_74_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_75_8s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_76_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_77_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_78_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_79_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_80_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_81_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_82_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_83_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_84_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_85_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_86_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_87_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_88_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_89_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_90_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_91_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_92_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_93_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_94_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_95_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_96_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_97_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_98_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_99_10s.wav,,zh-tw,C1
../acp_drp/C1_silence/silence_100_10s.wav,,zh-tw,C1
