audio_path,reference_text,language,condition,venue,source,source_scene,source_file,start_sec,duration_sec,license
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_01.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,0.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_02.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,10.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_03.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,15.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_04.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,60.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_05.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,85.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_06.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,105.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_07.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,115.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_08.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,120.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_09.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,125.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_10.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,130.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_11.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,140.000,5.0,CC BY-SA 3.0
../acp_drp/C2B_public/waiting_proxy/waiting_proxy_12.wav,,zh-tw,C2B,waiting_proxy,DEMAND,PCAFETER,ch01.wav,155.000,5.0,CC BY-SA 3.0
