audio_path,reference_text,language,condition,speaker,gender,sentence_id
../acp_drp/C3_short/male/c3_001.wav,好,zh-tw,C3,classmate_a,male,001
../acp_drp/C3_short/male/c3_002.wav,不要,zh-tw,C3,classmate_a,male,002
../acp_drp/C3_short/male/c3_003.wav,是,zh-tw,C3,classmate_a,male,003
../acp_drp/C3_short/male/c3_004.wav,對,zh-tw,C3,classmate_a,male,004
../acp_drp/C3_short/male/c3_005.wav,可以,zh-tw,C3,classmate_a,male,005
../acp_drp/C3_short/male/c3_006.wav,不行,zh-tw,C3,classmate_a,male,006
../acp_drp/C3_short/male/c3_007.wav,嗯好,zh-tw,C3,classmate_a,male,007
../acp_drp/C3_short/male/c3_008.wav,好喔,zh-tw,C3,classmate_a,male,008
../acp_drp/C3_short/male/c3_009.wav,不要了,zh-tw,C3,classmate_a,male,009
../acp_drp/C3_short/male/c3_010.wav,是的,zh-tw,C3,classmate_a,male,010
../acp_drp/C3_short/male/c3_011.wav,沒有,zh-tw,C3,classmate_a,male,011
../acp_drp/C3_short/male/c3_012.wav,有,zh-tw,C3,classmate_a,male,012
../acp_drp/C3_short/male/c3_013.wav,好嗎,zh-tw,C3,classmate_a,male,013
../acp_drp/C3_short/male/c3_014.wav,不是,zh-tw,C3,classmate_a,male,014
../acp_drp/C3_short/male/c3_015.wav,對啊,zh-tw,C3,classmate_a,male,015
../acp_drp/C3_short/male/c3_016.wav,好啊,zh-tw,C3,classmate_a,male,016
../acp_drp/C3_short/male/c3_017.wav,不要啊,zh-tw,C3,classmate_a,male,017
../acp_drp/C3_short/male/c3_018.wav,可以啊,zh-tw,C3,classmate_a,male,018
../acp_drp/C3_short/male/c3_019.wav,嗯,zh-tw,C3,classmate_a,male,019
../acp_drp/C3_short/male/c3_020.wav,喔,zh-tw,C3,classmate_a,male,020
../acp_drp/C3_short/male/c3_021.wav,先不要,zh-tw,C3,classmate_a,male,021
../acp_drp/C3_short/male/c3_022.wav,暫時不要,zh-tw,C3,classmate_a,male,022
../acp_drp/C3_short/male/c3_023.wav,不要插管,zh-tw,C3,classmate_a,male,023
../acp_drp/C3_short/male/c3_024.wav,不要急救,zh-tw,C3,classmate_a,male,024
../acp_drp/C3_short/male/c3_025.wav,不要了啦,zh-tw,C3,classmate_a,male,025
../acp_drp/C3_short/male/c3_026.wav,好的,zh-tw,C3,classmate_a,male,026
../acp_drp/C3_short/male/c3_027.wav,可以的,zh-tw,C3,classmate_a,male,027
../acp_drp/C3_short/male/c3_028.wav,沒問題,zh-tw,C3,classmate_a,male,028
../acp_drp/C3_short/male/c3_029.wav,同意,zh-tw,C3,classmate_a,male,029
../acp_drp/C3_short/male/c3_030.wav,不同意,zh-tw,C3,classmate_a,male,030
../acp_drp/C3_short/male/c3_031.wav,拒絕,zh-tw,C3,classmate_a,male,031
../acp_drp/C3_short/male/c3_032.wav,放棄,zh-tw,C3,classmate_a,male,032
../acp_drp/C3_short/male/c3_033.wav,先這樣,zh-tw,C3,classmate_a,male,033
../acp_drp/C3_short/male/c3_034.wav,再說,zh-tw,C3,classmate_a,male,034
../acp_drp/C3_short/male/c3_035.wav,等等,zh-tw,C3,classmate_a,male,035
../acp_drp/C3_short/male/c3_036.wav,知道了,zh-tw,C3,classmate_a,male,036
../acp_drp/C3_short/male/c3_037.wav,了解,zh-tw,C3,classmate_a,male,037
../acp_drp/C3_short/male/c3_038.wav,謝謝,zh-tw,C3,classmate_a,male,038
../acp_drp/C3_short/male/c3_039.wav,不用了,zh-tw,C3,classmate_a,male,039
../acp_drp/C3_short/male/c3_040.wav,先不用,zh-tw,C3,classmate_a,male,040
../acp_drp/C3_short/male/c3_041.wav,好啦,zh-tw,C3,classmate_a,male,041
../acp_drp/C3_short/male/c3_042.wav,對啦,zh-tw,C3,classmate_a,male,042
../acp_drp/C3_short/male/c3_043.wav,是啊,zh-tw,C3,classmate_a,male,043
../acp_drp/C3_short/male/c3_044.wav,沒有啊,zh-tw,C3,classmate_a,male,044
../acp_drp/C3_short/male/c3_045.wav,不行啊,zh-tw,C3,classmate_a,male,045
../acp_drp/C3_short/male/c3_046.wav,可以嗎,zh-tw,C3,classmate_a,male,046
../acp_drp/C3_short/male/c3_047.wav,要嗎,zh-tw,C3,classmate_a,male,047
../acp_drp/C3_short/male/c3_048.wav,不要嗎,zh-tw,C3,classmate_a,male,048
../acp_drp/C3_short/male/c3_049.wav,先好,zh-tw,C3,classmate_a,male,049
../acp_drp/C3_short/male/c3_050.wav,就這樣,zh-tw,C3,classmate_a,male,050
../acp_drp/C3_short/female/c3_001.wav,好,zh-tw,C3,classmate_b,female,001
../acp_drp/C3_short/female/c3_002.wav,不要,zh-tw,C3,classmate_b,female,002
../acp_drp/C3_short/female/c3_003.wav,是,zh-tw,C3,classmate_b,female,003
../acp_drp/C3_short/female/c3_004.wav,對,zh-tw,C3,classmate_b,female,004
../acp_drp/C3_short/female/c3_005.wav,可以,zh-tw,C3,classmate_b,female,005
../acp_drp/C3_short/female/c3_006.wav,不行,zh-tw,C3,classmate_b,female,006
../acp_drp/C3_short/female/c3_007.wav,嗯好,zh-tw,C3,classmate_b,female,007
