audio_path,reference_text,language,condition
../hallucination/C1/silence_01_3s.wav,,zh-tw,C1
../hallucination/C1/silence_02_3s.wav,,zh-tw,C1
../hallucination/C1/silence_03_3s.wav,,zh-tw,C1
../hallucination/C1/silence_04_3s.wav,,zh-tw,C1
../hallucination/C1/silence_05_3s.wav,,zh-tw,C1
../hallucination/C1/silence_06_5s.wav,,zh-tw,C1
../hallucination/C1/silence_07_5s.wav,,zh-tw,C1
../hallucination/C1/silence_08_5s.wav,,zh-tw,C1
../hallucination/C1/silence_09_5s.wav,,zh-tw,C1
../hallucination/C1/silence_10_5s.wav,,zh-tw,C1
../hallucination/C1/silence_11_8s.wav,,zh-tw,C1
../hallucination/C1/silence_12_8s.wav,,zh-tw,C1
../hallucination/C1/silence_13_8s.wav,,zh-tw,C1
../hallucination/C1/silence_14_8s.wav,,zh-tw,C1
../hallucination/C1/silence_15_8s.wav,,zh-tw,C1
../hallucination/C1/silence_16_10s.wav,,zh-tw,C1
../hallucination/C1/silence_17_10s.wav,,zh-tw,C1
../hallucination/C1/silence_18_10s.wav,,zh-tw,C1
../hallucination/C1/silence_19_10s.wav,,zh-tw,C1
../hallucination/C1/silence_20_10s.wav,,zh-tw,C1
../hallucination/C2/noise_01.wav,,zh-tw,C2
../hallucination/C2/noise_02.wav,,zh-tw,C2
../hallucination/C2/noise_03.wav,,zh-tw,C2
../hallucination/C2/noise_04.wav,,zh-tw,C2
../hallucination/C2/noise_05.wav,,zh-tw,C2
../hallucination/C2/noise_06.wav,,zh-tw,C2
../hallucination/C2/noise_07.wav,,zh-tw,C2
../hallucination/C2/noise_08.wav,,zh-tw,C2
../hallucination/C2/noise_09.wav,,zh-tw,C2
../hallucination/C2/noise_10.wav,,zh-tw,C2
../hallucination/C2/noise_11.wav,,zh-tw,C2
../hallucination/C2/noise_12.wav,,zh-tw,C2
../hallucination/C2/noise_13.wav,,zh-tw,C2
../hallucination/C2/noise_14.wav,,zh-tw,C2
../hallucination/C2/noise_15.wav,,zh-tw,C2
../hallucination/C2/noise_16.wav,,zh-tw,C2
../hallucination/C2/noise_17.wav,,zh-tw,C2
../hallucination/C2/noise_18.wav,,zh-tw,C2
../hallucination/C2/noise_19.wav,,zh-tw,C2
../hallucination/C2/noise_20.wav,,zh-tw,C2
../hallucination/C3/short_01.wav,好,zh-tw,C3
../hallucination/C3/short_02.wav,不要,zh-tw,C3
../hallucination/C3/short_03.wav,是,zh-tw,C3
../hallucination/C3/short_04.wav,對,zh-tw,C3
../hallucination/C3/short_05.wav,可以,zh-tw,C3
../hallucination/C3/short_06.wav,不行,zh-tw,C3
../hallucination/C3/short_07.wav,嗯好,zh-tw,C3
../hallucination/C3/short_08.wav,好喔,zh-tw,C3
../hallucination/C3/short_09.wav,不要了,zh-tw,C3
../hallucination/C3/short_10.wav,是的,zh-tw,C3
../hallucination/C3/short_11.wav,沒有,zh-tw,C3
../hallucination/C3/short_12.wav,有,zh-tw,C3
../hallucination/C3/short_13.wav,好嗎,zh-tw,C3
../hallucination/C3/short_14.wav,不是,zh-tw,C3
../hallucination/C3/short_15.wav,對啊,zh-tw,C3
../hallucination/C3/short_16.wav,好啊,zh-tw,C3
../hallucination/C3/short_17.wav,不要啊,zh-tw,C3
../hallucination/C3/short_18.wav,可以啊,zh-tw,C3
../hallucination/C3/short_19.wav,嗯,zh-tw,C3
../hallucination/C3/short_20.wav,喔,zh-tw,C3
../hallucination/C4/hesitation_01.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_02.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_03.wav,呃啊,zh-tw,C4
../hallucination/C4/hesitation_04.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_05.wav,呃,zh-tw,C4
../hallucination/C4/hesitation_06.wav,呃啊呃,zh-tw,C4
../hallucination/C4/hesitation_07.wav,嗯,zh-tw,C4
../hallucination/C4/hesitation_08.wav,啊,zh-tw,C4
