audio_path,reference_text,language,condition
../hallucination/C1/silence_01_3s.wav,,zh-tw,C1
../hallucination/C1/silence_02_3s.wav,,zh-tw,C1
../hallucination/C1/silence_03_3s.wav,,zh-tw,C1
../hallucination/C1/silence_04_3s.wav,,zh-tw,C1
../hallucination/C1/silence_05_3s.wav,,zh-tw,C1
../hallucination/C1/silence_06_5s.wav,,zh-tw,C1
../hallucination/C1/silence_07_5s.wav,,zh-tw,C1
../hallucination/C1/silence_08_5s.wav,,zh-tw,C1
../hallucination/C1/silence_09_5s.wav,,zh-tw,C1
../hallucination/C1/silence_10_5s.wav,,zh-tw,C1
../hallucination/C1/silence_11_8s.wav,,zh-tw,C1
../hallucination/C1/silence_12_8s.wav,,zh-tw,C1
../hallucination/C1/silence_13_8s.wav,,zh-tw,C1
../hallucination/C1/silence_14_8s.wav,,zh-tw,C1
../hallucination/C1/silence_15_8s.wav,,zh-tw,C1
../hallucination/C1/silence_16_10s.wav,,zh-tw,C1
../hallucination/C1/silence_17_10s.wav,,zh-tw,C1
../hallucination/C1/silence_18_10s.wav,,zh-tw,C1
../hallucination/C1/silence_19_10s.wav,,zh-tw,C1
../hallucination/C1/silence_20_10s.wav,,zh-tw,C1
